App Name,Size (bytes),App id,Currency,Price,Rating (All),Rating (Current),Avg Rating (All),Avy Rating (Current),Version,Rating(Content),Prefrence,Supp Devices,Screenshot,Supp Lang,Vpp Lic
Journey of 1000 Stars,29959168,1084565679,USD,1.99,22,22,4.5,4.5,1,4+,Games,43,4,1,1
Versus Run,213704704,1084590704,USD,0,766,320,4.5,4.5,1.1,4+,Games,40,5,1,1
Puzzlepops!,132981760,1084600612,USD,1.99,19,10,5,5,1.2,4+,Games,37,5,7,1
Shopping Mall Car Parking Simulator a Real Driving Racing Game,203485184,1084644256,USD,0,205,170,4,4,1.0.2,4+,Games,38,5,1,1
Alchemic Maze,65435648,1084682224,USD,2.99,17,2,5,5,1.1,4+,Games,37,4,1,1
Card Wars Kingdom - Adventure Time,997171200,1084805156,USD,0,4283,332,3.5,4,1.0.10,12+,Games,38,5,10,1
DreamWorks Friends - get ready for the day!,185370624,1084841402,USD,1.99,17,0,5,0,2.1,4+,Education,37,5,1,1
Chameleon Run,93931520,1084860489,USD,1.99,4580,2868,4.5,4.5,1.3,4+,Games,38,5,1,1
Minescape,79834112,1084930110,USD,0,84,23,3.5,4,1.0.1,4+,Games,37,5,1,1
King of Avalon: Dragon Warfare,191580160,1084930849,USD,0,3326,25,4,3.5,3.0.2,9+,Games,40,5,33,1
鬼畜三国-红将觉醒,213086208,1084979184,USD,0,0,0,0,0,4.7.02,12+,Games,40,5,0,1
轩辕剑叁外传之天之痕-正版经典仙侠授权,831783936,1084979604,USD,0,0,0,0,0,1.6.1,12+,Games,40,5,1,1
Crazy Truck!,79053824,1085000333,USD,0,14,3,4,2.5,1.3,4+,Games,38,4,1,1
live.ly - live video streaming,143863808,1085024470,USD,0,4145,18,3.5,4,4.12,12+,Social Networking,37,0,21,1
Final Kick VR - Virtual Reality free soccer game for Google Cardboard,218329088,1085096375,USD,0,18,18,4,4,1,4+,Games,40,5,1,1
Train Kit,32340992,1085105198,USD,2.99,66,0,4,0,1.1,4+,Games,37,1,9,1
Crypt of the NecroDancer Pocket Edition,1180269568,1085123968,USD,4.99,247,33,4.5,4.5,1.09,12+,Games,37,5,11,1
Hackers - Join the Cyberwar!,248681472,1085131523,USD,0,1759,87,4.5,4.5,1.025,9+,Games,37,5,1,1
Disney Princess: Charmed Adventures,617468928,1085248903,USD,0,164,20,3.5,3.5,1.3,4+,Entertainment,37,5,1,1
Guild of Dungeoneering,377589760,1085272239,USD,5.99,1232,152,4.5,5,1.5,12+,Games,37,5,1,1
Oz: Broken Kingdom™,955086848,1085348419,USD,0,4074,45,4.5,3.5,2.0.1,12+,Games,38,5,17,1
SLAAAASH ! -Cut and Smash ! refreshing Puzzle-,47260672,1085401990,USD,0,1,1,5,5,1.0.5,4+,Games,40,0,2,1
Hex Crush!,138152960,1085429285,USD,0,1202,13,4.5,4,1.1.0,4+,Games,40,5,2,1
Bernie Sandwiches - Run For The White House,46030848,1085432257,USD,0,472,66,4.5,4,1.2.1,4+,Games,40,5,1,1
【ひっぱりパズル】ズキュ〜〜〜〜ン！,85823488,1085434420,USD,0,0,0,0,0,2.0.3,4+,Games,40,4,2,1
君にはクリアできませんよ,6600704,1085435111,USD,0,0,0,0,0,1,4+,Games,40,4,2,1
ほぼ無理ゲー,21790720,1085435354,USD,0,0,0,0,0,1,4+,Games,40,5,1,1
五目並べ - オンライン対戦搭載！,48455680,1085458374,USD,0,0,0,0,0,1.0.4,4+,Games,38,4,3,1
YO-KAI WATCH Wibble Wobble,77443072,1085461253,USD,0,4275,69,4.5,4.5,2.1.2,4+,Games,38,5,5,1
Room Escape [SECRET CODE 2],68177920,1085464876,USD,0,20,3,5,5,1.1,4+,Games,38,5,2,1
香哈菜谱-最专业的家常菜谱大全 无广告版,42312704,1085497387,USD,0.99,0,0,0,0,4.1.7,17+,Food & Drink,40,5,1,1
謎解き,16080896,1085497631,USD,0,0,0,0,0,1.0.0,4+,Book,40,0,1,1
Smash Slots,113942528,1085543061,USD,0,663,192,4.5,4.5,1.5,12+,Games,37,5,1,1
Escape from the ICU room.,96123904,1085596938,USD,0,5,5,4,4,1.1.2,12+,Games,40,4,1,1
Moorish Kingdom,713567232,1085617232,USD,2.99,33,33,4,4,1,12+,Games,40,5,1,1
"Collageable - Photo Collage Maker, Pic Grid Free",90942464,1085652055,USD,0,5112,1764,4.5,4.5,1.5,4+,Photo & Video,37,0,11,1
Camping With Grandpa,110712832,1085660579,USD,2.99,25,3,3.5,3.5,1.3,4+,Education,37,5,1,1
Blocs Wave - Make & Record Music,70608896,1085697317,USD,0,158,7,4,4.5,12.1,4+,Music,37,5,1,1
Snail Bob 2,611215360,1085698206,USD,0,276,9,4.5,4,1.2.1,4+,Games,37,5,21,1
Curvulate,22950912,1085730259,USD,0,43,6,4,3.5,1.1,4+,Games,40,5,1,1
Fran Bow Chapter 1,114072576,1085768995,USD,1.99,57,47,3.5,3.5,1.1,12+,Games,40,2,1,1
Jottit,72340480,1085821901,USD,0,14,1,2,3,1.1.2,4+,Productivity,37,5,1,1
Dark Tales: Edgar Allan Poe’s The Tell-tale Heart - A Hidden Object Mystery (Full),871531520,1085829348,USD,6.99,61,61,3,3,1.0.0,9+,Games,37,5,4,1
FarmVille: Tropic Escape - Harvest in Paradise,204402688,1085899628,USD,0,16457,0,4.5,0,1.9.763,4+,Games,37,5,15,1
Able Black,312574976,1085908608,USD,1.99,876,812,5,5,3,12+,Games,40,5,1,1
SKATEmoji - Keyboard,24901632,1085914246,USD,1.99,14,2,3.5,1.5,1.1,17+,Utilities,37,0,1,1
CUBE 360°　～想像力×知能×反射神経～,22441984,1085932108,USD,0,0,0,0,0,1.1.0,9+,Games,43,4,16,1
勘違い探し（俺のこと・・・）,32477184,1085932516,USD,0,0,0,0,0,1.1.0,12+,Games,43,5,16,1
Pythonista 3,506323968,1085978097,USD,9.99,180,63,5,5,3.1,4+,Productivity,37,5,1,1
秒速で1億円 貢ぐ男　～美女キャラ集結！from ギャングロード JOKER～,72392704,1085985143,USD,0,0,0,0,0,1.1.0,17+,Games,38,0,1,1
MineSweeper　マインスイーパ無料,8053760,1086006702,USD,0,0,0,0,0,1.0.0,4+,Games,38,0,1,1
銀魂 公式連載アプリ〜銀魂の漫画が毎週１巻読めるアプリ〜,39901184,1086015361,USD,0,1,1,1,1,1.6.2,4+,Book,38,3,1,1
ZEDGE™ Wallpapers,61203456,1086101495,USD,0,2215,1076,3.5,5,2.7.6,12+,Entertainment,37,2,12,1
Cool Jigsaw Puzzles,342103040,1086126576,USD,0,63,1,4,2,5.8.0,4+,Games,38,4,1,1
Gravity Switch,43257856,1086252028,USD,0,1405,1016,4.5,4.5,1.1.2,4+,Games,38,5,1,1
Disney LOL,59685888,1086316112,USD,0,1259,77,4,4.5,1.7.2,4+,Entertainment,37,5,1,1
Flappy Bird : original version !,7298048,1086354043,USD,0,516,516,4.5,4.5,1.1,4+,Games,38,3,1,1
Fireboy and Watergirl: Online in the Forest Temple - Multiplayer Running and Adventure Game,108116992,1086378532,USD,0,3965,1360,3.5,4,1.2.6,4+,Games,37,2,1,1
Twisty Arrow - Shoot the Circle Wheel,80547840,1086379636,USD,0,4440,495,4.5,4,1.1,4+,Games,38,3,1,1
Wonder Keyboard: Sound Smart & Funny with AI,71102464,1086391724,USD,0,375,18,4.5,5,1.6.6,9+,Utilities,37,1,1,1
CHINGOJI,21342208,1086451637,USD,0.99,58,16,3,2,1.06,4+,Entertainment,37,0,1,1
Mixed Macho Arts,65502208,1086477428,USD,0.99,9,1,3,1,1.1,12+,Games,37,5,1,1
Goosebumps Night of Scares.,345457664,1086502786,USD,2.99,20,19,4.5,4.5,1.3.2,12+,Games,37,4,1,1
ST channel ［エスティーチャンネル］- 雑誌『セブンティーン』公式アプリ,73465856,1086519782,USD,0,0,0,0,0,1.1.10,4+,News,37,0,2,1
Live Wallpapers Pro by Themify - Dynamic Animated Themes and Backgrounds,24157184,1086539327,USD,2.99,154,17,4,4.5,1.2,4+,Entertainment,37,0,11,1
国金宝理财-15%年化收益的金融投资赚钱软件,48665600,1086548430,USD,0,0,0,0,0,2.4.1,17+,Finance,38,0,1,1
Puzzle Monster Quest - New MultiPlayer,1125521408,1086577498,USD,0,894,43,4.5,4.5,3.4.1,9+,Games,40,5,1,1
BlockyTime - Track your time no need to Start/Stop,11595776,1086617993,USD,1.99,9,1,5,5,1.4.2,4+,Productivity,37,5,5,1
Ball Escape!,131479552,1086625206,USD,0,48,25,3,3.5,1.2,4+,Games,40,5,1,1
Loop Mania,67451904,1086644209,USD,0,534,128,4.5,4.5,1.1.4,4+,Games,40,5,1,1
Independence Day Resurgence: Battle Heroes,275680256,1086647459,USD,0,523,22,4,3.5,1.12,9+,Games,37,5,1,1
ひとほろぼし,44026880,1086688310,USD,0,0,0,0,0,1.1,12+,Games,40,2,1,1
VR HORROR,107664384,1086758579,USD,0,241,145,3.5,3.5,0.93,12+,Games,40,0,1,1
Maps for Minecraft PE (Mine Maps for Pocket Edition),11220992,1086758987,USD,1.99,134,134,3,3,1,9+,Entertainment,38,4,1,1
Plummet Dash,24740864,1086794447,USD,0,194,194,4,4,1,4+,Games,40,5,1,1
Unstoppable: Highway Truck Racing Game,132173824,1086795798,USD,2.99,13,1,3.5,5,1.1.60,12+,Games,25,5,1,1
Surface: Return to Another World - A Hidden Object Adventure (Full),649999360,1086799932,USD,6.99,82,82,4.5,4.5,1.0.0,9+,Games,37,5,5,1
KINGDOM HEARTS Union χ[Cross],82377728,1086859120,USD,0,2984,241,4,2.5,2.0.2,4+,Games,38,5,1,1
Boooom!! -たった1発で爆破できますか？-,14064640,1086917828,USD,0,0,0,0,0,1.0.1,4+,Games,38,5,2,1
Dancing with the Stars: The Official Game,350794752,1086929344,USD,0,1098,27,4,4.5,2.7,4+,Games,37,4,1,1
High School Crush - My First Love,228554752,1086937448,USD,0,2003,1296,4.5,4.5,1.2.0,9+,Games,38,5,11,1
大根にしがみつく女子高生,93810688,1086964574,USD,0,10,7,5,5,1.0.9,9+,Games,38,4,1,1
LEGO® DC Super Heroes Mighty Micros,164455424,1086978383,USD,0,172,0,4,0,1.4.393,4+,Games,37,5,1,1
-The 穴通し3D- 君の記憶力x反射神経を問う! ～Mr.CURVEからの挑戦状 ～,147915776,1087011731,USD,0,0,0,0,0,1,4+,Games,38,4,1,1
Scotmoji - Scottish emoji-stickers!,67978240,1087074229,USD,0.99,53,2,2,2,1.8,12+,Utilities,37,3,1,1
Snakebird,124343296,1087075743,USD,0,401,401,3.5,3.5,1,4+,Games,43,5,1,1
Glasmoji - Glasgow emoji-stickers,66552832,1087095011,USD,0.99,1,1,3,3,1.1,12+,Utilities,37,5,1,1
Mancmoji - Manchester emoji-stickers!,71414784,1087095785,USD,0.99,0,0,0,0,1.1,12+,Utilities,37,5,1,1
Scousemoji - Liverpool emoji-stickers,66212864,1087096070,USD,0.99,0,0,0,0,1.2,12+,Utilities,37,5,1,1
Labyrinths of the World: Changing the Past HD - A Mystery Hidden Object Game (Full),1469082624,1087125014,USD,6.99,76,76,4.5,4.5,1.0.0,9+,Games,24,5,5,1
おかず甲子園,199826432,1087200930,USD,0,0,0,0,0,1.3,4+,Games,43,5,1,1
Move the Match - Matchstick Puzzles for Free,35869696,1087266454,USD,0,441,38,4,4.5,1.1.1,4+,Games,37,5,10,1
女性向けまとめ読みアプリ - pool（プール）-,89447424,1087273941,USD,0,0,0,0,0,2.4.6,17+,Lifestyle,37,0,2,1
イケメン革命◆アリスと恋の魔法 恋愛ゲーム,92517376,1087276648,USD,0,0,0,0,0,1.1.2,12+,Games,37,0,1,1
"Please,Dad. I wanna live.　おとうさん、おねがい。わたし生きたいよ。",73361408,1087280174,USD,0,0,0,0,0,1.0.1,12+,Games,37,0,1,1
Sloomy,76509184,1087282720,USD,0,241,22,4.5,4.5,1.4.1,4+,Games,37,5,1,1
Warp Shift,342428672,1087286731,USD,0,1178,918,4.5,4.5,1.0.1,4+,Games,37,5,16,1
Sausage Legend - Fighting Game,130111488,1087286874,USD,0,90,10,4.5,4,1.2.0,9+,Games,37,5,10,1
Brio - Don’t Fall!,41423872,1087287522,USD,0,56,56,3.5,3.5,1,4+,Games,37,0,11,1
Ridiculous Parking Simulator a Real Crazy Multi Car Driving Racing Game,331473920,1087318096,USD,0,43,43,4,4,1.0.1,4+,Games,37,5,1,1
TAP BRAIN - 1日5分の計算で頭が良くなるゲーム,44122112,1087344255,USD,0,0,0,0,0,1.1.1,4+,Games,40,0,1,1
Akuarella,99978240,1087422283,USD,1.99,7,7,5,5,1.2.1,17+,Photo & Video,37,4,2,1
Tap Hero,26119168,1087433788,USD,0,1444,182,4.5,4.5,1.01,12+,Games,37,5,1,1
War Tortoise,407088128,1087489471,USD,0,10555,1026,5,5,1.2.1,12+,Games,40,5,1,1
Emoji Blitz,15467520,1087490734,USD,0,999,999,4,4,1,4+,Games,40,3,1,1
Dash Heroes,57469952,1087637812,USD,0,2,2,4.5,4.5,1.1.1,4+,Games,38,5,5,1
Batman v Superman: Who Will Win,194196480,1087638293,USD,0,314,225,3,3,1.1,9+,Games,38,5,1,1
Solitaire Free: card games for adults,34105344,1087685392,USD,0,4891,1105,4.5,4.5,1.26,4+,Entertainment,40,5,2,1
Dumb Ways JR Boffo's Breakfast,92313600,1087693451,USD,1.99,31,31,3.5,3.5,1,4+,Education,37,4,1,1
謎トレ 謎解き脳トレーニング,6176768,1087698005,USD,0,0,0,0,0,1.0.0,4+,Book,40,0,1,1
脱出ゲーム　海底神殿からの脱出,155508736,1087702752,USD,0,0,0,0,0,1.0.0,4+,Games,38,5,1,1
热血超人-二次元卡牌游戏,732598272,1087728027,USD,0,0,0,0,0,1.0.212,9+,Games,40,5,1,1
斗地主·大全-2017年最受欢迎的精品棋牌游戏合集,83053568,1087738560,USD,0,0,0,0,0,3.98,17+,Games,40,4,1,1
Smart Baby Sorter HD - Early Learning Shapes and Colors / Matching and Educational Games for Preschool Kids,16807936,1087742191,USD,2.99,5,5,4.5,4.5,1,4+,Games,38,5,2,1
Disco Dave,93434880,1087784913,USD,0,444,9,4.5,4,1.5.0,4+,Games,37,5,1,1
Blair's Fashion Boutique - School Style,112493568,1087793008,USD,0,299,39,4.5,4.5,1.1,4+,Games,38,5,2,1
Puppy Life - Secret Pet Party,195533824,1087817882,USD,0,343,22,4,4.5,1.1,4+,Games,38,5,11,1
MuvaMoji by Amber Rose,73638912,1087839782,USD,1.99,2061,217,4.5,4.5,1.5,17+,Entertainment,37,0,1,1
The Bad Man Tipster - Betting Tips,51968000,1087893385,USD,0,0,0,0,0,1.35,17+,Entertainment,37,3,1,1
企业微信,139163648,1087897068,USD,0,7,0,2.5,0,1.3.10,4+,Business,38,0,2,1
Cheats for FNAF World - Unlock every ending and beat the game with ease!,65344512,1087984514,USD,2.99,84,37,4,3.5,1.0.3,12+,Reference,38,4,1,1
Phantasmat: The Dread of Oakville - A Mystery Hidden Object Game (Full),1021167616,1088041538,USD,6.99,71,71,4.5,4.5,1.0.0,9+,Games,38,5,4,1
Myths of the World: The Whispering Marsh - A Mystery Hidden Object Game (Full),912822272,1088056625,USD,6.99,65,65,4.5,4.5,1.0.2,9+,Games,37,5,5,1
Best 9 for Instagram,27278336,1088115502,USD,0,88,88,1,1,1.1,4+,Photo & Video,37,1,1,1
Brain Block -脳トレ分解パズル-,99194880,1088126570,USD,0,0,0,0,0,1.0.1,4+,Games,38,4,1,1
Keyboard PE - Custom keyboard for Modded Pocketmine Servers of Minecraft PE,22332416,1088135010,USD,1.99,7,7,1.5,1.5,1,4+,Utilities,37,4,1,1
Escape Game: Relief,42011648,1088172195,USD,0,49,41,5,5,1.2,4+,Games,40,5,2,1
タップモンスター◆タップだけの簡単本格RPG/タプモン,201381888,1088186369,USD,0,0,0,0,0,1.0.7,9+,Games,38,5,1,1
Monster Raid™,365371392,1088194226,USD,0,116,20,4,3.5,2.0.0,9+,Games,40,5,8,1
Buddyman Run － keep running!,278796288,1088211144,USD,0,762,94,4.5,4.5,1.8.1,9+,Games,38,5,4,1
Stickman Cubed,109913088,1088242281,USD,0,47,47,4.5,4.5,1,4+,Games,40,5,1,1
Rising Warriors: War Games - The New Order,51471360,1088263864,USD,0,541,73,3.5,2,2.2,9+,Games,37,5,1,1
Vintage Slots Las Vegas - Old Slot Machine Games!,69826560,1088300283,USD,0,1474,252,5,5,1.8.2,12+,Games,38,5,31,1
Сluster Traffic: Parkour Trucks Pro,162976768,1088318418,USD,0.99,4,4,3.5,3.5,1,4+,Games,40,4,1,1
Lucky Block Mod Survival Game PE - Pocket Edition,111525888,1088389081,USD,0.99,272,272,4,4,1,12+,Games,40,3,1,1
Clash Playbook: Plan Attacks for Clash of Clans,50597888,1088496590,USD,0.99,0,0,0,0,1.1.0,4+,Utilities,37,5,3,1
Retro City Rampage DX,15611904,1088540036,USD,4.99,68,23,4.5,4.5,1.0.1,12+,Games,40,5,5,1
Masks - MSQRD Edition,13214720,1088568893,USD,0.99,0,0,0,0,1.0.1,9+,Photo & Video,37,0,1,1
Skippy Box,80876544,1088580204,USD,0,130,129,4.5,4.5,2,4+,Games,40,3,1,1
ThemeOut,91664384,1088585714,USD,0,612,612,2.5,2.5,1.0.1,4+,Utilities,37,0,1,1
Pupoji - Cute Dog Emoji Keyboard Puppy Face Emojis,61040640,1088589710,USD,0.99,0,0,0,0,1.3,4+,Entertainment,37,5,1,1
Hexavoid,89885696,1088625279,USD,0,386,15,4.5,4.5,2.6.1,4+,Games,37,5,1,1
Devil Tower 2,101798912,1088632237,USD,0.99,0,0,0,0,2.0.2,9+,Games,38,4,2,1
Flippy - Star in famous clips!,85392384,1088682460,USD,0.99,134,5,4,5,2.3.3,12+,Photo & Video,37,3,11,1
"人気の動画まとめてみた。""for YouTube""",8467456,1088731673,USD,0,0,0,0,0,1,17+,Entertainment,38,4,2,1
Go Surf - The Endless Wave Runner,228620288,1088941177,USD,0,68,9,4,3,1.4.5,9+,Games,37,5,1,1
Heavy Metal Emoji Keyboard,62248960,1089003380,USD,0.99,51,9,3.5,3,1.1,17+,Entertainment,37,0,1,1
Restaurant DASH with Gordon Ramsay,174926848,1089048531,USD,0,21804,803,4.5,4,2.0.9,9+,Games,37,5,11,1
【謎解き】自称カノジョからの病みすぎメッセージ,16397312,1089058534,USD,0,1,1,4,4,1,4+,Book,38,0,1,1
おかんからのメッセ - ほのぼの謎解きゲーム,30749696,1089108246,USD,0,1,1,5,5,1.0.6,4+,Book,37,1,2,1
箱庭シティ鉄道,210575360,1089125950,USD,5.99,0,0,0,0,1.05,4+,Games,37,5,1,1
Escape Alice House2,56381440,1089138131,USD,0,8,5,4.5,4.5,1.3,4+,Games,40,0,2,1
Super Slime Blitz – Gumball Endless Arcade Climber,338222080,1089193839,USD,0,668,499,4.5,4.5,1.0.2,4+,Games,38,4,1,1
Fold+,55095296,1089215088,USD,1.99,4,4,3.5,3.5,1,4+,Games,40,5,1,1
Talking Tom Gold Run: Fun & Endless Running Game,202542080,1089336971,USD,0,18733,737,4.5,4.5,1.7.4,4+,Games,38,5,13,1
ドリブルの達人,20414464,1089372833,USD,0,0,0,0,0,1.0.1,4+,Games,38,4,2,1
非诚勿扰-中国最大免费婚恋交友平台,12932096,1089386287,USD,0,3,3,3.5,3.5,5.6.0,17+,Social Networking,38,0,1,1
小学館 オックスフォード 英語コロケーション辞典,72013824,1089462231,USD,22.99,0,0,0,0,1.1,4+,Reference,37,5,2,1
Great App for Who is Your Daddy version,22635520,1089471259,USD,0.99,103,98,1.5,1.5,1.1,12+,Reference,38,3,1,1
洋葱圈—正经人的不正经聊天工具,101316608,1089516052,USD,0,0,0,0,0,2.7.1,12+,Social Networking,37,5,1,1
Shield Designer for Minecraft,20526080,1089580662,USD,0.99,17,17,2.5,2.5,1,4+,Games,37,4,1,1
Activity++,2604032,1089666978,USD,2.99,131,13,4.5,4,1.1.2,4+,Health & Fitness,37,0,5,1
心の美男美女診断,15053824,1089810837,USD,0,0,0,0,0,1.0.2,17+,Entertainment,37,0,1,1
VR Roller Coaster,240964608,1089824278,USD,0,67,44,3.5,4,0.81,4+,Games,38,0,1,1
Live.me – Live Video Chat & Make Friends Nearby,163832832,1089836344,USD,0,14724,97,4.5,4.5,3.6.20,17+,Social Networking,37,0,9,1
Levels - Addictive Puzzle Game,89965568,1089847385,USD,0,7,0,4,0,1.6.1,4+,Games,40,4,9,1
現金製造ロボ -毎日コツコツ3万円稼ぐ-,29755392,1089849623,USD,0,0,0,0,0,1.0.4,17+,Finance,37,3,1,1
Zen,58142720,1089982285,USD,0,298,117,4.5,4.5,2.5.0,4+,Health & Fitness,37,2,3,1
NumberQ,71362560,1090258212,USD,0,0,0,0,0,1.0.0,4+,Games,37,5,2,1
BLOCK(ブロック) -ぼくの箱庭【3D】-,210988032,1090267690,USD,0,0,0,0,0,1.0.1,4+,Games,40,5,1,1
Tap Tap Trillionaire,142701568,1090276143,USD,0,1595,2,4.5,3.5,1.12.0,4+,Games,37,5,1,1
YANKAI'S TRIANGLE,58137600,1090292301,USD,1.99,61,32,4.5,5,3.9.27,9+,Games,37,5,1,1
Thomas & Friends™: Read & Play,83994624,1090320498,USD,0,30,2,4,1,1.0.5,4+,Entertainment,37,5,1,1
Golf Ball Locator,3899392,1090532562,USD,3.99,38,6,2,2,1.6,4+,Sports,37,0,31,1
The Bug Butcher,720882688,1090552213,USD,3.99,153,121,4,4,1.0.1,12+,Games,37,5,6,1
Riptide GP: Renegade,107640832,1090577736,USD,2.99,412,109,4.5,4.5,1.1.0,9+,Games,37,5,1,1
Steve - The Jumping Dinosaur Widget Arcade Game,26888192,1090617661,USD,0,7751,39,4.5,4.5,1.6.1,4+,Games,37,5,3,1
出会い系無料で遊べるsnsアプリ内緒チャットトーク,14261248,1090636013,USD,0,0,0,0,0,1,17+,Social Networking,40,0,1,1
Messenger for WhatsApp - Pro App,709632,1090653945,USD,1.99,6,3,2.5,3,1.4,4+,Business,37,3,10,1
迷你屠龙传(1.76经典休闲挂机版),34243584,1090725456,USD,0.99,1,1,5,5,1.0.0,17+,Games,38,5,1,1
Versus - Multiplayer Game (2 players),60761088,1090731387,USD,0,1,1,5,5,2.1.2,4+,Games,37,5,4,1
iLive Pro - Live Wallpapers for iPhone 7,1700864,1090742878,USD,0.99,9,2,3,3,1.4,4+,Lifestyle,37,4,2,1
Bow Hunt Simulator,52435968,1090757314,USD,1.99,8,1,2.5,2,1.1.2,12+,Sports,43,5,1,1
TohTum,75922432,1090759947,USD,0,110,55,4,4.5,1.0.3,4+,Games,38,5,1,1
Ball Tower,124923904,1090826925,USD,0,67,16,3.5,3.5,1.6,4+,Games,40,5,1,1
