App Name,Size (bytes),App id,Currency,Price,Rating (All),Rating (Current),Avg Rating (All),Avy Rating (Current),Version,Rating(Content),Prefrence,Supp Devices,Screenshot,Supp Lang,Vpp Lic
Ghost Observer - ghost detector & spirit radar,51575808,615256100,USD,0,1193,38,3.5,3.5,1.7,9+,Entertainment,37,3,8,1
Videoshop - Video Editor,140902400,615563599,USD,1.99,57878,6343,4.5,5,6.0.1,4+,Photo & Video,37,5,8,1
Redline Rush,53620736,616027251,USD,0.99,1766,397,4.5,4.5,1.3.1,4+,Games,43,5,30,1
海鮮!!すし街道,108208128,616589689,USD,4.99,0,0,0,0,1.1.1,4+,Games,38,5,1,1
"Village Life: Love, Marriage and Babies",502828032,616655687,USD,0,116620,6593,4.5,4.5,2.6.9,4+,Games,38,4,8,1
Eyes - the horror game,103088128,616728264,USD,0.99,567,312,4.5,4.5,2.1,12+,Games,40,5,1,1
Slow Shutter!,2039808,616728746,USD,1.99,230,141,4,4.5,2.6,4+,Photo & Video,38,5,1,1
Hopscotch,117678080,617098629,USD,0,4057,111,4.5,4,3.16.0,4+,Education,37,5,3,1
楽天市場 for iPad,13448192,618687721,USD,0,6,0,4,0,1.3.8,4+,Lifestyle,24,4,1,1
Cute CUT Pro - Full Featured Video Editor,52002816,618790117,USD,5.99,1478,253,4,4.5,1.8.5,4+,Photo & Video,38,5,12,1
Farm Story 2™,112607232,619481402,USD,0,13142,77,4,4,2.6.5,4+,Games,43,5,8,1
Teenage Mutant Ninja Turtles: Rooftop Run,149581824,619517698,USD,3.99,15398,2492,4,4,3.0.2,9+,Games,43,4,7,1
Covet Fashion - The Game for Dresses & Shopping,112668672,620112416,USD,0,75034,66,4,4,3.02.25,4+,Games,38,5,6,1
驾校一点通-保过版，2017最新驾考学车宝典,102477824,620262310,USD,0,16,0,4.5,0,5.4.0,17+,Education,38,1,2,1
"ameli, l'Assurance Maladie",44564480,620447173,USD,0,8,1,4,4,9.0.0,4+,Health & Fitness,37,5,1,1
【マイナビバイト大学生版】大学生のバイト探し・アルバイト求人,40026112,621167809,USD,0,0,0,0,0,1.2.7,4+,Lifestyle,38,0,1,1
Design This Castle,243441664,621491290,USD,0,2500,162,4,4.5,1.0.8,4+,Games,38,5,1,1
Oldify - Old Face Photo Booth App,97549312,621561671,USD,0.99,864,0,4.5,0,2.2.1,4+,Entertainment,37,5,13,1
Prime Photos from Amazon,76257280,621574163,USD,0,10511,2201,4,4.5,4.5.1,4+,Photo & Video,37,5,9,1
BeautyPlus - Selfie Camera for a Beautiful Image,128229376,622434129,USD,0,7503,334,5,5,6.4.5,4+,Photo & Video,37,0,9,1
英熟語ターゲット1000（4訂版）,70040576,622559167,USD,4.99,0,0,0,0,2.7.1,4+,Education,37,5,2,1
Survivalcraft,55344128,622613679,USD,3.99,19784,1086,4,4.5,1.29.21.0,9+,Games,43,5,1,1
Talking Ginger 2,81372160,623158699,USD,0,8311,101,4.5,4.5,2.4.2,4+,Entertainment,38,5,13,1
Dr. Panda Beauty Salon,154353664,623193844,USD,2.99,527,17,4.5,4.5,1.6,4+,Education,40,5,19,1
Heads Up!,90467328,623592465,USD,0.99,9567,356,4.5,4.5,3.8.6,12+,Games,37,5,2,1
World of Cubes Survival Craft,187049984,623789705,USD,0,2758,53,4,3.5,2.8,9+,Games,37,5,1,1
PDF Export - Photos to PDF and Converter,58659840,623856305,USD,2.99,41,6,3.5,4.5,6.3.2,4+,Business,37,5,29,1
Bloons TD Battles,107245568,624533261,USD,0,67861,173,4.5,4.5,4.3.1,9+,Games,40,5,1,1
Where's My Mickey?,130893824,624653112,USD,1.99,2846,89,4,2.5,1.2.1.61,9+,Games,38,0,11,1
Hearthstone,2405958656,625257520,USD,0,34694,50,4,4,8.2.19371,12+,Games,40,5,12,1
Geometry Dash,83931136,625334537,USD,1.99,266440,6263,5,4.5,2.1,4+,Games,37,4,1,1
Sproggiwood,438601728,625411864,USD,4.99,105,37,4.5,4.5,1.2.10,12+,Games,40,5,1,1
HairTech-Head Sheets,5907456,625740630,USD,2.99,14,2,3,1.5,3.0.1,4+,Productivity,24,3,1,1
Stupid Test!,31798272,625985591,USD,0,2485,2112,4.5,5,4,4+,Games,37,5,1,1
Eurovision Song Contest - The Official App,71026688,625994547,USD,0,68,6,3,3.5,3.7.2,12+,Entertainment,37,5,2,1
The Fast Metabolism Diet– customized meal planning,36395008,626362411,USD,2.99,261,21,3.5,3.5,2.9.3,4+,Health & Fitness,38,0,1,1
MLB.com Home Run Derby 17,232590336,626469977,USD,0,100035,195,4.5,3.5,5.0.3,4+,Games,37,5,1,1
Faded - Photo Editor,118618112,626583252,USD,1.99,24530,3551,4.5,4.5,2.3.1,4+,Photo & Video,38,5,5,1
Sorcery!,170172416,627879091,USD,4.99,662,22,4,3.5,1.6.1,12+,Games,38,5,1,1
Sorcery! 2,270895104,627880433,USD,4.99,308,10,5,5,1.3.2,12+,Games,38,5,1,1
OPM Alert,30252032,627986929,USD,0,172,4,2,3,2.0.5,4+,News,37,5,1,1
Doodle Jump Easter Special,17430528,627994145,USD,0,900,5,4.5,4,1.0.5,4+,Games,37,4,1,1
Icon Pop Song,52387840,628267678,USD,0,2199,554,4.5,4,1.5,4+,Games,43,5,1,1
Yahoo Weather,123047936,628677149,USD,0,112603,537,4.5,4.5,1.11.3,4+,Weather,37,5,39,1
Draw Rider Plus,37103616,629059031,USD,1.99,1490,3,4.5,4.5,6.4,12+,Games,37,5,1,1
Stick Texting – The College Series,50511872,631073589,USD,1.99,24,1,3.5,5,1.4,17+,Utilities,37,5,1,1
"Writing Wizard - Kids Learn to Write Letters, Alphabet & Words",42598400,631446426,USD,3.99,349,94,4.5,4.5,3.0.2,4+,Education,38,5,6,1
Official Life in the UK Test – 3rd Edition,5627904,632064672,USD,4.99,3,3,2,2,1.2.1,4+,Education,43,0,1,1
Star Command,153100288,632079234,USD,2.99,3473,619,4,4,1.1.4,12+,Games,43,5,1,1
BAA Marathon,99851264,632231181,USD,0,70,11,2.5,1.5,3.6,4+,Sports,37,0,17,1
Dots: A Game About Connecting,112562176,632285588,USD,0,11900,7,4,4,2.3.3,4+,Games,37,5,1,1
Costume Quest,717484032,632297587,USD,2.99,408,356,4,4,1.03,12+,Games,40,4,1,1
Close Up Pics Quiz - Guess the Word Trivia Games,95661056,632311326,USD,0,48032,899,4.5,4,3.9.2,4+,Games,40,3,1,1
Make-Up Touch 2 - Kids Games & Girls Dressup Game,52653056,632344249,USD,0,1214,68,3.5,4,2.4,4+,Games,38,5,25,1
UE BOOM,27680768,632344648,USD,0,612,12,2.5,3.5,5.3,4+,Music,38,0,8,1
鬼とび,9931776,632460897,USD,0,6,1,5,5,1.1.3,4+,Games,40,3,2,1
Rivals for Catan,288161792,632598552,USD,0.99,263,94,3.5,3,1.3.0,4+,Games,43,5,2,1
Tetris® Blitz,131477504,632827808,USD,0,122868,176,4.5,4,3.5.4,4+,Games,37,5,11,1
Deus Ex: The Fall,1654582272,633443676,USD,4.99,6764,105,4,4.5,1.0.6,17+,Games,37,5,5,1
Baldur's Gate II:EE,2272493568,633625517,USD,9.99,373,134,4,4,1.3,12+,Games,43,5,1,1
Transport Tycoon,384600064,634013256,USD,6.99,516,8,4.5,4.5,1.3.4,4+,Games,40,5,5,1
e-Sword LT: Bible Study on the Go,18964480,634158738,USD,1.99,2152,241,5,5,6,4+,Reference,37,0,3,1
Duet Game,87994368,634235735,USD,2.99,14407,207,5,4.5,3.8,4+,Games,37,5,14,1
Crane Game Toreba!,36301824,634329875,USD,0,323,8,2.5,2,1.4.3,4+,Games,37,5,5,1
Glitché,30717952,634467171,USD,0.99,1338,202,4,4.5,2.12,4+,Photo & Video,37,5,1,1
McPlay™,408755200,634672279,USD,0,3278,39,2.5,3,4.0.1,4+,Games,37,5,1,1
The Inner World,2213945344,634885478,USD,2.99,425,316,4.5,4.5,1.3,4+,Games,40,5,1,1
美柚 - 女生助手,128416768,634896669,USD,0,804,0,5,0,6.0.1,17+,Health & Fitness,38,0,2,1
"Casino X - Free Slot Machines, Poker, Blackjack",74799104,635080617,USD,0,416,11,4,4.5,1.98,12+,Games,37,0,18,1
沪江开心词场-英语、日语、韩语学习助手,129157120,635206028,USD,0,417,8,4.5,5,6.3.1,4+,Education,37,5,24,1
Santa Call & Tracker - North Pole Command Center,206322688,635252156,USD,3.99,953,202,4.5,4.5,6.1.6,4+,Entertainment,37,5,1,1
Sniper Shooter: Gun Shooting Games,113509376,635573390,USD,0,134080,451,5,5,5.0.4,12+,Games,37,5,1,1
Castle Raid 2,346927104,635819133,USD,2.99,452,340,4.5,4.5,1.1,9+,Games,40,5,1,1
Memrise: learn languages,83949568,635966718,USD,0,20383,138,5,4.5,2.2.22,4+,Education,37,5,24,1
RUNNING for weight loss: workout & meal plans,110701568,636240052,USD,0,6407,267,4.5,4.5,6.2,4+,Health & Fitness,37,0,10,1
RUNNING for weight loss PRO: workout & meal plans,110566400,636248681,USD,1.99,304,18,4,3.5,6.2.1,4+,Health & Fitness,37,0,10,1
平安证券,102875136,636344719,USD,0,0,0,0,0,6.2.3,4+,Finance,37,0,2,1
"Thunderspace 5k ~ Focus, Sleep, Relax, Meditate in a thunderstorm with rain and nature sounds",119598080,636485814,USD,2.99,1690,112,4.5,4.5,5.3,9+,Health & Fitness,38,5,4,1
Buddy & Me,130174976,637897973,USD,1.99,252,123,4.5,4.5,1.3.0,4+,Games,38,5,1,1
达令全球好货－正品免税，带你购全球,34791424,638143733,USD,0,19,0,4.5,0,5.9.6,12+,Shopping,38,5,2,1
Township,175876096,638689075,USD,0,80801,953,4.5,4.5,4.8.0,4+,Games,38,5,14,1
Le bonheur de lire dès 3 ans: learn to read French,470513664,638714159,USD,3.99,0,0,0,0,1.5,4+,Education,40,5,1,1
Where's My Water? 2,181628928,638853147,USD,0,22302,221,3.5,4,1.5.1,4+,Games,37,5,11,1
Werewolf Special Package,17518592,639219540,USD,3.99,0,0,0,0,8.6,12+,Games,37,0,2,1
Pacific Rim,695918592,639615384,USD,0.99,1522,277,4,4,1.9.13,9+,Games,36,5,1,1
Dumb Ways to Die,842893312,639930688,USD,0,151559,866,4.5,4.5,2.2.0,12+,Games,40,5,1,1
Pixel Gun 3D,1744486400,640111933,USD,0,301182,3493,4.5,4.5,12.1.1,12+,Games,38,5,1,1
WWDC,34959360,640199958,USD,0,762,7,3.5,4.5,6.0.0,4+,Reference,37,5,1,1
Nextdoor,82531328,640360962,USD,0,14402,104,4.5,4.5,3.11,4+,Social Networking,37,0,4,1
Terraria,126036992,640364616,USD,4.99,98036,11022,4.5,4.5,1.2.12785,9+,Games,37,5,5,1
AZZL,130421760,640484311,USD,2.99,261,84,5,4.5,1.2,4+,Games,37,5,10,1
Stop Motion Studio Pro,52312064,640564761,USD,4.99,537,2,4.5,5,8.3.1,4+,Photo & Video,37,5,10,1
Sago Mini Forest Flyer,168208384,640702076,USD,2.99,1617,50,4.5,4.5,2.1,4+,Education,38,5,1,1
Doc McStuffins:  Time For Your Check Up!,321802240,640941236,USD,3.99,1286,289,3.5,3,1.1,4+,Entertainment,40,5,1,1
3D stereogram : Human,16596992,640999250,USD,0.99,9,9,4,4,1.3,17+,Entertainment,43,5,2,1
Factory Balls,28557312,641519483,USD,0.99,144,62,4.5,5,1.5,4+,Games,40,5,16,1
Tayasui Sketches,198511616,641900855,USD,0,11505,67,4.5,4.5,16.2,4+,Productivity,37,5,15,1
Spinrilla - Mixtapes For Free,40071168,642064350,USD,0,15053,1032,4.5,4,3.2.5,12+,Music,37,0,3,1
YY HD-和美女帅哥主播视频聊天的直播软件,112109568,642091851,USD,0,94,13,3,4.5,5.5.5,17+,Entertainment,24,5,2,1
Angry Birds Go!,499580928,642821482,USD,0,75793,953,4,3.5,2.6.3,4+,Games,37,5,10,1
Jigsaw Puzzle Collection HD,86220800,642831690,USD,0,40227,2371,4.5,4.5,1.2.4,12+,Games,24,5,2,1
Stellarium Mobile Sky Map,54294528,643165438,USD,2.99,64,10,3.5,3.5,1.23,4+,Education,43,5,0,1
Hangouts,94750720,643496868,USD,0,36404,0,4,0,16.0.0,4+,Social Networking,37,5,34,1
Quizduell,118291456,643791032,USD,0,10,0,2.5,0,6.5.1,4+,Games,37,5,22,1
Walk for a Dog,63271936,643857704,USD,0,412,22,3,3.5,3.3.0,4+,Health & Fitness,23,0,1,1
Galileo Organ,41422848,644077827,USD,9.99,135,36,5,5,3,4+,Music,24,5,1,1
LiveTunes - Live Concert Music Player,128413696,644106186,USD,0.99,220,20,4.5,4.5,3.1,4+,Music,37,5,5,1
Pronoun Fill-In Super Fun Deck,133537792,644245630,USD,5.99,5,0,4,0,3.8,4+,Education,37,5,1,1
Cachly - Simple and powerful Geocaching for iPhone,25072640,645384141,USD,4.99,263,101,4.5,4.5,2.0.3,4+,Navigation,37,0,9,1
"Alizay, pirate girl",186402816,645422116,USD,2.99,14,1,4.5,4,4.0.2,4+,Book,40,5,2,1
Formula Cartoon All-Stars – Crazy Cart Racing with Your Favorite Cartoon Network Characters,927440896,645675002,USD,2.99,168,162,4,4,3.5,4+,Games,43,4,1,1
Verizon Cloud,104749056,645682444,USD,0,6482,409,4.5,4.5,17.2.4,4+,Productivity,37,5,1,1
"Solitaire Deluxe® Social - Classic, Spider, more",112141312,645704840,USD,0,6970,93,4.5,4.5,3.5.1,4+,Games,37,5,1,1
Evil Apples: A Filthy Adult Card & Party Game,126050304,645705454,USD,0,53415,2938,4.5,4.5,1.9.23,17+,Games,37,5,1,1
Word Swag - Cool fonts & typography generator,112843776,645746786,USD,4.99,9731,1840,5,4.5,2.1.5,4+,Photo & Video,38,5,1,1
EasyCost - Expense Tracker and Money organizer,9694208,645794505,USD,0.99,165,21,4.5,4.5,1.6.6,4+,Finance,38,0,4,1
Hero Emblems,144809984,645797558,USD,3.99,597,289,4.5,4.5,1.06,12+,Games,40,5,7,1
Angry Birds Star Wars II,226834432,645859810,USD,0,33724,64,4.5,4.5,1.9.22,4+,Games,37,5,1,1
Jelly Splash,138738688,645949180,USD,0,21601,14,4,3.5,3.13.0,4+,Games,38,5,19,1
"AOL: News, Email, Weather & Video",85273600,646100661,USD,0,5233,0,4,0,4.6.6,12+,News,37,5,3,1
Machines at War 3 RTS,191706112,646436754,USD,6.99,608,96,4.5,5,2.1,17+,Games,40,5,10,1
Castle of Illusion Starring Mickey Mouse,555233280,646489967,USD,4.99,852,852,3.5,3.5,1,9+,Games,35,5,6,1
Ruler and Compass Geometry,24403968,646504584,USD,0.99,2,2,3.5,3.5,1.1,4+,Education,26,4,16,1
OnCamera,94908416,646619812,USD,0,111,12,2.5,3.5,1.6.3,4+,Lifestyle,37,1,1,1
Clone Magic,18268160,647554947,USD,1.99,306,79,4,4,3.0.1,4+,Photo & Video,40,5,1,1
Monogram - Wallpaper & Backgrounds Maker HD DIY with Glitter Themes,85420032,647594931,USD,0,7427,693,4.5,3.5,4.5.1,4+,Lifestyle,37,4,8,1
Solitaire ∘,103740416,647804489,USD,0,741,161,4.5,4.5,3.5.2,4+,Games,37,5,15,1
D&D Lords of Waterdeep,563081216,648019675,USD,6.99,1772,545,4.5,4.5,1.2.4,9+,Games,43,5,1,1
百度贴吧HD,106000384,648228242,USD,0,542,366,3.5,4,6.8.0,17+,Social Networking,24,3,1,1
Happy Wheels,38466560,648668184,USD,0,60601,5645,4.5,4.5,1.0.6,17+,Games,38,5,1,1
"Videon - Video Camera and Editor with Zoom, Pause, Effects, Filters",11747328,648862644,USD,4.99,818,180,4.5,4,2.11,4+,Photo & Video,38,5,11,1
Pan Book 1: The Fearless Beribolt,915262464,648998642,USD,5.99,438,3,4.5,4.5,5.4.1,4+,Book,37,5,1,1
Dr. Panda Handyman,138967040,649181106,USD,2.99,218,12,4,4,1.3,4+,Education,40,5,18,1
Authentic Weather,23582720,649202100,USD,1.99,330,30,3,3,4.1,12+,Weather,37,2,1,1
"NOAA World Radar – Rain, Hurricanes & Weather",59233280,649246860,USD,2.99,581,8,4,5,3.2.3,4+,Weather,37,5,14,1
"Stock Market Pro: Stock Trading, Charts & Alerts",77472768,649820448,USD,5.99,1034,8,3.5,2.5,2023,4+,Finance,37,1,1,1
Craft your games! - Createrria 2,449130496,649822618,USD,0,4475,177,4,4,2.0.6,4+,Games,40,5,1,1
Sniper Shooter Pro by Fun Games For Free,110870528,649983655,USD,0.99,945,95,5,5,4.9,17+,Games,40,5,1,1
Seven - 7 Minute Workout Training Challenge,142803968,650276551,USD,0,6808,9,4.5,4,5.1.1,4+,Health & Fitness,37,5,8,1
Quiver - 3D Coloring App,183631872,650645305,USD,0,325,16,3.5,4,3.15,4+,Entertainment,38,5,1,1
OBD Fusion - OBD2 vehicle scan tool & diagnostics,78813184,650684932,USD,9.99,521,35,4,4.5,4.0.1,4+,Travel,37,5,1,1
LetterGlow - Graphic Design & Photo Editing,125425664,650715760,USD,2.99,181,32,4,4.5,2.2.6,4+,Photo & Video,37,0,9,1
Battle Camp HD - Collect & Evolve Your Monsters,335650816,651209536,USD,0,6055,34,4.5,4,4.11,4+,Games,24,5,20,1
Sabres of Infinity,41937920,651277515,USD,2.99,169,57,4.5,4.5,1.5.0,12+,Games,38,5,1,1
FollowMeter for Instagram - Followers Tracking,11819008,651309421,USD,0,11976,172,4.5,4.5,3.6,4+,Social Networking,37,0,1,1
机票、火车票、汽车票预定助手 for 铁路12306,21944320,651323845,USD,0,128,74,5,5,7.3.5,4+,Travel,38,5,2,1
Trivia Crack,265484288,651510680,USD,0,393469,34,4.5,3.5,2.4,4+,Games,37,5,26,1
Construction Simulator 2014,395522048,651978174,USD,0.99,2470,984,4,4,1.04,4+,Games,36,5,18,1
"Princess Salon™ - Girls Makeup, Dressup and Makeover Games",53260288,652039347,USD,0,5030,1014,4,4,1.2,4+,Games,43,5,1,1
Toca Builders,87713792,652077009,USD,2.99,5102,114,4.5,4,1.0.5,4+,Education,40,5,18,1
Ice Fishing Derby Premium,30641152,652138155,USD,2.99,47,2,4,4,1.11,4+,Games,40,3,1,1
100 PICS Quiz - guess the picture trivia games,67786752,652945710,USD,0,23160,44,4.5,4.5,2.5,4+,Games,37,5,7,1
WaterMinder®,94605312,653031147,USD,2.99,1875,176,4.5,4.5,3.2,4+,Health & Fitness,37,4,14,1
2016 U.S. Open Golf Championship for iPad,146871296,653146633,USD,0,146,24,2.5,1.5,4.0.127,4+,Sports,24,4,1,1
Kanvas - Express Yourself,222722048,653298682,USD,0,2177,0,4.5,0,6.3,9+,Photo & Video,37,0,30,1
飞凡--智慧新生活,143166464,653384976,USD,0,0,0,0,0,4.18.0,17+,Lifestyle,37,0,1,1
Yoga.com: 300 Poses & Video Classes,51133440,653453499,USD,3.99,1189,11,4.5,3.5,3.1,4+,Health & Fitness,37,5,6,1
"Monster Legends RPG - War, Fight & Heroes Game",170844160,653508448,USD,0,111579,365,4.5,5,5.2.3,9+,Games,38,5,12,1
Charades!™,44654592,653967729,USD,0,18072,129,4.5,4,2.5.1,4+,Games,40,1,1,1
Procraster - Overcome Procrastination,19279872,654662054,USD,1.99,155,71,4,4,1.3.1,4+,Productivity,37,5,2,1
Freeletics Bodyweight - Workouts and Training,103856128,654810212,USD,0,1722,18,4.5,4,4.9,4+,Health & Fitness,37,5,8,1
Weaphones WW2: Firearms Simulator,62558208,654898029,USD,2.99,2122,129,5,4.5,1.5.0,12+,Games,43,5,16,1
Call of Duty®: Strike Team,1790959616,655619282,USD,6.99,9097,2662,4,4.5,1.4.0,17+,Games,39,5,5,1
Breach & Clear,1015242752,655749677,USD,3.99,5513,665,4.5,4.5,2.3.0,17+,Games,39,5,1,1
"Screens - Remote Desktop, VNC, Screen Sharing",43640832,655890150,USD,19.99,559,15,4,4.5,4.4.1,4+,Productivity,37,5,11,1
Background Player Pro for Cloud Platforms,51890176,655903467,USD,2.99,184,17,4,4.5,3.7,17+,Productivity,40,5,54,1
Icebreaker: A Viking Voyage,60375040,656163700,USD,0.99,726,52,4.5,4.5,1.3.0,9+,Games,43,0,1,1
Modern Combat 5 : The Multiplayer eSports Shooter,1271361536,656176278,USD,0,45270,763,4.5,4,2.5.0,17+,Games,37,5,15,1
Home - A Unique Horror Adventure,49221632,656723874,USD,2.99,348,35,3.5,3.5,1.5.4,12+,Games,43,5,1,1
BlackOut: Bring the color back in the sky,170045440,656773485,USD,2.99,226,96,4,4,1.07,4+,Games,43,5,1,1
LIMBO,135050240,656951157,USD,4.99,15030,319,4.5,4.5,1.1.15,12+,Games,37,5,13,1
Episode - Choose Your Story,182361088,656971078,USD,0,155903,713,4.5,4.5,6.2,12+,Games,38,5,1,1
Clue Period Tracker: Period & Ovulation Tracker,103040000,657189652,USD,0,13436,39,4.5,4.5,3.5.6,12+,Health & Fitness,37,0,15,1
7 Minute Workout Pro,76668928,657222343,USD,0.99,303,40,4.5,5,3,4+,Health & Fitness,38,5,26,1
Forbidden Desert,190652416,657395017,USD,6.99,78,30,5,5,1.2,9+,Games,24,5,1,1
My Talking Tom,255747072,657500465,USD,0,123859,1174,4.5,4.5,4.1.2,4+,Games,38,5,13,1
Lightbot : Programming Puzzles,55465984,657638474,USD,2.99,108,9,4.5,4.5,1.6.7,4+,Games,43,5,1,1
ようとん場,40534016,657675944,USD,0,9,0,4.5,0,1.51,12+,Games,40,0,1,1
Rayman Fiesta Run,146302976,657811530,USD,2.99,5078,761,4.5,4.5,1.5.3,4+,Games,38,5,13,1
The Open,110575616,658257516,USD,0,142,0,2.5,0,1.4.9,4+,Sports,37,4,1,1
Can You Escape,64293888,658293394,USD,0,218024,1734,4.5,4.5,2,4+,Games,40,5,16,1
Mickey Mouse Clubhouse - Color & Play,313371648,658426204,USD,2.99,452,40,4,4,2.3,4+,Entertainment,38,5,3,1
ガールズちゃんねる - 女子のニュースとガールズトーク,61737984,658785238,USD,0,0,0,0,0,2.4.6,17+,News,37,0,2,1
Mancala Pro,56049664,658828559,USD,1.99,289,46,4.5,4,2,4+,Games,43,2,1,1
